"hgnc_symbol"	"mim_morbid_accession"
"ARF5"	NA
"AP3B1"	608233
"AP3M1"	NA
"ARHGEF38"	NA
"ARID1B"	135900
"ARPC2"	NA
"ARHGAP23"	NA
"ARL2"	NA
"ARRDC3"	NA
"ARHGAP21"	NA
"ARHGAP42"	NA
"ARHGAP30"	NA
"ARNT2"	615926
"ARID3A"	NA
"ARPC5"	NA
"ARHGAP1"	NA
"ARHGEF12"	NA
"ARRDC5"	NA
"ARL10"	NA
"APOBEC4"	NA
"ALG5"	NA
"AOC1"	NA
"ALKBH3"	NA
"APOA2"	143890
"ANO7"	NA
"ANKRD65"	NA
"ARHGAP9"	NA
"ANAPC5"	NA
"ANKHD1-EIF4EBP3"	NA
"APEH"	NA
"ANKHD1"	NA
"API5"	NA
"AMY2B"	NA
"ARRDC4"	NA
"ARFGEF1"	NA
"ARL2BP"	615434
"ANGPTL5"	NA
"ANKRD36C"	NA
"ARSB"	253200
"ARRB2"	NA
"APBB1"	NA
"AMY2A"	NA
"AMY1A"	NA
"AMY1B"	NA
"AMY1C"	NA
"ALS2CL"	NA
"ARHGAP31"	100300
"ALKBH5"	NA
"ALOX5AP"	601367
"ANKRD17"	NA
"ARHGEF5"	NA
"ARHGEF35"	NA
"ANKRD29"	NA
"AP2B1"	NA
"AOC2"	NA
"ALDH9A1"	NA
"APLN"	NA
"AQP5"	NA
"AQP2"	125800
"AREG"	NA
"ARNTL"	NA
"ANKRD66"	NA
"AQP6"	NA
"AOC3"	NA
"APLF"	NA
"ARL13A"	NA
"ALX4"	615529
"ALX4"	613451
"ALX4"	609597
"ARPP21"	NA
"AMER3"	NA
"ARHGAP11B"	NA
"ANKRD36BP1"	NA
"AOX1"	NA
"ARHGAP39"	NA
"ARHGAP25"	NA
"ALKBH1"	NA
"ALDH7A1"	266100
"AMZ2P1"	NA
"ARL4A"	NA
"ARL13B"	612291
"ARHGEF15"	NA
"AP1G2"	NA
"ARHGEF19"	NA
"ANXA2"	NA
"ARFGEF3"	NA
"ARHGEF4"	NA
"AQP11"	NA
"ANXA13"	NA
"ALKBH2"	NA
"ANKRD52"	NA
"ARF1"	NA
"ARFIP2"	NA
"ANKRD45"	NA
"ANKRD55"	NA
"ARHGEF25"	NA
"ARL8A"	NA
"ARL6"	613575
"ARL6"	600151
"ARL6"	268000
"ARL6"	209900
"ANTXR1"	602089
"ANTXR1"	230740
"ARGFX"	NA
"APOBEC3B"	NA
"ARHGAP22"	NA
"ANO6"	262890
"AP3B2"	617276
"APOBEC3C"	NA
"APOBEC3D"	NA
"ANKRD13B"	NA
"ANKRD40"	NA
"APOBEC3F"	NA
"APOBEC3G"	NA
"ARRDC2"	NA
"APOBEC3H"	NA
"ANAPC2"	NA
"ARID3B"	NA
"ANKRD13C"	NA
"ARHGEF37"	NA
"ANKIB1"	NA
"ARID2"	617808
"ARL6IP4"	NA
"ARMCX4"	NA
"AQP1"	110450
"APBB1IP"	NA
"ARHGAP8"	NA
"AMIGO1"	NA
"ALOX15B"	NA
"AMPD2"	615809
"AMPD2"	615686
"ANKRD11"	148050
"ARMCX1"	NA
"ARHGDIB"	NA
"ARRB1"	NA
"ALOX12B"	242100
"AP4M1"	612936
"APP"	605714
"APP"	104300
"ARMC7"	NA
"ARL8B"	NA
"ARID4B"	NA
"ANKMY2"	NA
"ANKRD35"	NA
"ANAPC10"	NA
"ARHGEF3"	NA
"AP5Z1"	613647
"ALG8"	617874
"ALG8"	608104
"ARL1"	NA
"ARGLU1"	NA
"ALDH3B2"	NA
"ARL4C"	NA
"AP1S1"	609313
"ARHGEF40"	NA
"AMOTL2"	NA
"ALPK1"	NA
"APOL6"	NA
"ANAPC13"	NA
"ANKRD13A"	NA
"ARSA"	250100
"ARMC8"	NA
"ANKEF1"	NA
"ALDH3B1"	NA
"APOD"	NA
"ANXA10"	NA
"ANXA5"	614391
"ARFIP1"	NA
"ANXA3"	NA
"AMN1"	NA
"ARPP19"	NA
"ARHGAP10"	NA
"ANAPC7"	NA
"ANKS3"	NA
"APPL1"	616511
"ARPC3"	NA
"ARIH1"	NA
"ARMT1"	NA
"AMIGO2"	NA
"AMDHD1"	NA
"ANP32E"	NA
"ARHGAP24"	NA
"APOL3"	NA
"AP4B1"	614066
"APH1A"	NA
"ARMC9"	617622
"ANPEP"	NA
"ANGPTL6"	NA
"AMHR2"	261550
"ANKRD7"	NA
"ARF4"	NA
"ALX1"	613456
"ARNT"	NA
"APOL4"	181500
"AMN"	261100
"ALKBH4"	NA
"ANXA9"	NA
"AMPD1"	615511
"AP3S2"	NA
"ARPIN"	NA
"ANKLE2"	616681
"ANKRD33"	NA
"ANTXR2"	228600
"APOL2"	181500
"ARHGAP20"	NA
"APOL1"	612551
"ANK2"	600919
"ALPL"	241510
"ALPL"	241500
"ALPL"	146300
"AP1G1"	NA
"ARHGAP11A"	NA
"ANHX"	NA
"ANKUB1"	NA
"ALG3"	601110
"ANKRD50"	NA
"AP4S1"	614067
"ANXA1"	NA
"ARID1A"	614607
"ARL6IP5"	NA
"APAF1"	NA
"ANP32A"	NA
"AREL1"	NA
"ANKS1B"	NA
"AP2M1"	NA
"ARL16"	NA
"ALG10"	613688
"ALS2CR12"	NA
"AQP10"	NA
"ALG10B"	NA
"ARL4D"	NA
"ARHGAP29"	NA
"ALG14"	616227
"ALG12"	607143
"ANGPTL3"	605019
"APPL2"	NA
"ARHGEF2"	617523
"ALG6"	603147
"ARL14"	NA
"BAAT"	607748
"B2M"	241600
"B2M"	105200
"ASF1B"	NA
"ATRX"	309580
"ATRX"	301040
"ATRX"	300504
"ATRX"	300448
"ASXL2"	617190
"ATP6V1G2"	NA
"ASIC2"	NA
"AXIN2"	608615
"AXIN2"	114500
"BEST1"	613194
"BEST1"	611809
"BEST1"	193220
"BEST1"	153700
"ATP6V1C2"	NA
"BAALC"	NA
"BAMBI"	NA
"BAALC-AS2"	NA
"ASNA1"	NA
"BLOC1S6"	614171
"BEST2"	NA
"ATF2"	NA
"ATXN1L"	NA
"ASS1"	215700
"BAG4"	NA
"ASH2L"	NA
"B3GNTL1"	NA
"ASCC3"	NA
"ATRNL1"	NA
"BLVRA"	614156
"ATG9A"	NA
"ASCC2"	NA
"BANF1"	614008
"BAG6"	NA
"BAX"	NA
"ATMIN"	NA
"BNC2"	NA
"ATCAY"	601238
"ATP5S"	NA
"BANP"	NA
"BHLHE41"	612975
"BET1L"	NA
"BAIAP2L1"	NA
"ATP7A"	309400
"ATP7A"	304150
"ATP7A"	300489
"ASB3"	NA
"ART1"	NA
"BEND2"	NA
"BNIP3"	NA
"ATP6V1H"	NA
"B3GNT2"	NA
"BCL2L12"	NA
"ASIC4"	NA
"ATP2B3"	NA
"ASB9"	NA
"ATXN7L1"	NA
"BEAN1"	117210
"ATP13A2"	617225
"ATP13A2"	606693
"BICD2"	615290
"ASRGL1"	NA
"ASAP1"	NA
"ASB11"	NA
"ATG4A"	NA
"BICC1"	601331
"BBS2"	616562
"BBS2"	615981
"ASB13"	NA
"BMI1"	NA
"BEND7"	NA
"B3GALT5"	NA
"ASAH1"	228000
"ASAH1"	159950
"ATF6B"	NA
"ATAT1"	NA
"BCL2L11"	NA
"B3GALT6"	615349
"B3GALT6"	271640
"BMP7"	NA
"ATP2B2"	601386
"ATP6V1B1"	267300
"BMP6"	NA
"BEX5"	NA
"BLOC1S5"	NA
"BLOC1S5-TXNDC5"	NA
"BMX"	NA
"ASB2"	NA
"BCL2L1"	NA
"ASPSCR1"	606243
"ATP4A"	NA
"BBS9"	615986
"ATP6V1E1"	617402
"ATP2A3"	NA
"BOLA2B"	NA
"BET1"	NA
"ASB6"	NA
"ATP6V1D"	NA
"BCO1"	115300
"BARX2"	NA
"BACH2"	NA
"BMP4"	NA
"BMPER"	608022
"BHLHA9"	609432
"BHLHA9"	607539
"ASMTL"	NA
"BARD1"	114480
"BCL7C"	NA
"BCL2L13"	NA
"ATXN3L"	NA
"B4GALT6"	NA
"BCAT2"	NA
"ATP13A1"	NA
"BCR"	613065
"BCR"	608232
"BABAM1"	NA
"B3GAT3"	245600
"ASPRV1"	NA
"AXIN1"	607864
"AXIN1"	114550
"ATAD2B"	NA
"ATRAID"	NA
"BMF"	NA
"BARHL1"	NA
"AZU1"	NA
"ASMT"	NA
"BCAP29"	NA
"BCAS3"	NA
"ASAP2"	NA
"ATG5"	617584
"ATRIP"	NA
"ASPH"	601552
"BAP1"	614327
"ATL3"	615632
"BID"	NA
"AVP"	125700
"ASB16"	NA
"ASB16-AS1"	NA
"AZIN1"	NA
"ATG4D"	NA
"BNIP1"	NA
"ASPA"	271900
"BBOX1"	NA
"BIRC8"	NA
"BCOR"	309800
"BCOR"	300166
"ASF1A"	NA
"BGN"	300989
"BGN"	300106
"ASIP"	611742
"AS3MT"	NA
"BCAP31"	300475
"ATXN7L3"	NA
"BAG3"	613881
"BAG3"	612954
"ATP6V0C"	NA
"B4GALT1"	607091
"BOD1"	NA
"ATXN3"	109150
"BAG1"	NA
"BACE2"	NA
"ATP2C2"	NA
"BAG2"	NA
"B3GAT1"	NA
"BMPR1A"	610069
"BMPR1A"	174900
"ATP12A"	NA
"BDNF"	607499
"BDNF"	209880
"BDNF"	164230
"BLNK"	613502
"ATN1"	125370
"ATF7IP2"	NA
"ARSG"	NA
"BCKDHB"	248600
"BCO2"	NA
"B4GAT1"	615287
"ATIC"	608688
"BASP1"	NA
"AWAT2"	NA
"BOD1L1"	NA
"ASPHD1"	NA
"ATG7"	NA
